device,current,voltage,condition,normal_or_abnormal
Fan,0.196,11.33,ON,normal
Motor,0.422,11.54,ON,normal
Fan,0.196,11.33,ON,normal
Motor,0.829,11.53,ON,normal
Fan,0.305,11.33,ON,normal
Motor,0.829,11.53,ON,normal
Fan,0.305,11.33,ON,normal
Motor,2.078,11.09,ON,abnormal
Fan,0.271,10.93,ON,normal
Motor,2.235,11.1,ON,abnormal
Fan,0.375,11.0,ON,normal
Motor,2.235,11.1,ON,abnormal
Fan,0.375,11.0,ON,normal
Motor,1.874,11.21,ON,abnormal
Fan,0.322,11.07,ON,normal
Motor,1.874,11.21,ON,abnormal
Fan,0.322,11.07,ON,normal
Motor,1.816,11.21,ON,abnormal
Fan,0.261,11.06,ON,normal
Motor,1.727,11.26,ON,abnormal
Fan,0.358,11.08,ON,normal
Motor,1.727,11.26,ON,abnormal
Fan,0.358,11.08,ON,normal
Motor,1.77,11.24,ON,abnormal
Fan,0.381,11.09,ON,normal
Motor,1.77,11.24,ON,abnormal
Fan,0.381,11.09,ON,normal
Motor,1.687,11.3,ON,abnormal
Fan,0.353,11.13,ON,normal
Motor,1.167,11.33,ON,abnormal
Fan,0.227,11.26,ON,normal
Motor,1.167,11.33,ON,abnormal
Fan,0.227,11.26,ON,normal
Motor,1.479,11.42,ON,abnormal
Fan,0.294,11.29,ON,normal
Motor,1.248,11.35,ON,abnormal
Fan,0.335,11.19,ON,normal
Motor,1.248,11.35,ON,abnormal
Fan,0.335,11.19,ON,normal
Motor,1.401,11.47,ON,abnormal
Fan,0.211,11.35,ON,normal
Motor,1.401,11.47,ON,abnormal
Fan,0.211,11.35,ON,normal
Motor,1.031,11.42,ON,abnormal
Fan,0.24,11.31,ON,normal
Motor,1.235,11.32,ON,abnormal
Fan,0.311,11.15,ON,normal
Motor,1.235,11.32,ON,abnormal
Fan,0.311,11.15,ON,normal
Motor,1.516,11.32,ON,abnormal
Fan,0.342,11.15,ON,normal
Motor,1.516,11.32,ON,abnormal
Fan,0.342,11.15,ON,normal
Motor,1.406,11.38,ON,abnormal
Fan,0.325,11.22,ON,normal
Motor,0.275,11.61,ON,abnormal
Fan,0.121,11.51,ON,abnormal
